torque,kappa,velocity,x,y
1.596703466633018,-1.1270453899934573e-05,0.0016621994663791947,2.999998487229767,-11.999955198361883
1.5936460667773433,-1.8772729719633859e-05,0.0031952040257869955,2.999998480549797,-11.99995692984368
1.5896752809330306,-1.7818282417455956e-05,0.0051747529058201805,2.9999984733374183,-11.999974887879569
1.5865966034046146,-1.4521536750771937e-05,0.006715542888418779,2.999998466001662,-12.000005558443588
0.8719221447416795,-7.4858083596368891e-06,0.36404728434301287,3.006835242890214,-12.000017470899618
0.09813040432940792,8.0508826508152546e-06,0.7509363278932775,3.0353254823251468,-12.000045038772692
-0.01,2.3442653156151896e-05,1.1897537782398477,3.0840828394447914,-12.00007030315266
-0.01,6.8209700453241359e-05,1.5456447812030387,3.1564520965886795,-11.999510904205763
-0.01,0.00035653087629435395,1.8148813300048805,3.2405663642848412,-11.999461336772752
-0.01,0.00065424196844453134,2.0128701064358987,3.3363244974207524,-11.999346404403365
-0.01,0.00070143536846325137,2.078075577510602,3.438990394684818,-11.99927519194235
-0.01,0.00065197563325712984,2.1050475024047217,3.544298784368187,-12.000167694161428
-0.01,0.00065961866769909474,2.094062150312617,3.64925496984237,-12.000601015250986
-0.01,0.00064750677986482544,2.075509634653674,3.753683835868249,-12.000966820493678
-0.01,0.00068461738473072113,2.0674552207340784,3.857302065033573,-12.001257361393307
-0.01,0.00069273156395667967,2.0568410684896064,3.9809394522974024,-12.001568317030458
-0.01,0.00067242353398498493,2.0457764249250783,4.062929932583605,-12.001792834043357
-0.01,0.0006525849457629816,2.0360679872835408,4.164932124271548,-12.002045788277227
-0.01,0.00067455677072484038,2.0265710966740897,4.266527263783981,-12.002292297826385
-0.01,0.00064502862644480973,2.015897320062293,4.3675843005451815,-12.002532773855293
-0.01,0.00066337224456548306,2.0051381901711114,4.468103736165198,-12.002772416557788
-0.01,0.00063172662063244115,1.9943385350924756,4.5680840627800565,-12.003012037233052
-0.01,0.00065373883179544953,1.9835475438645283,4.667525155791689,-12.003252080556972
-0.01,0.00063680848201268453,1.942883357023379,4.78566700645851,-12.003513001233395
-0.01,0.00067791939433401469,1.9535116767258656,4.883477954775098,-12.003727844827957
-0.01,0.00060552859198576795,1.942706218620993,4.961355239356107,-12.00383589942383
-0.01,0.00063060571391542104,1.931962865300409,5.058220222844951,-12.00405135391284
-0.01,0.00061964133049878425,1.9188396666649497,5.15376939677432,-12.004263051570767
-0.01,0.00063831498740194131,1.9019582405034798,5.287557212594734,-12.004535453907096
-0.01,0.00056134682405323808,1.8913235588044948,5.344389764381085,-12.004571192516362
-0.01,0.0005877855802736906,1.8765272240808613,5.4380823009729875,-12.004793042361966
-0.01,0.00053569854365420827,1.8623638052085858,5.550255849274527,-12.004880897396323
-0.01,0.00056117796573777821,1.8500320011955718,5.624506022872354,-12.005151597909025
-0.01,0.00055316952021216008,1.8318291643698088,5.716153131873963,-12.005189335669636
-0.01,0.00058152782739523325,1.8211562460478525,5.807655385583378,-12.005222619791423
-0.01,0.00055498745063630383,1.8098247276022834,5.916545676563423,-12.005306276232773
-0.01,0.00056629268770491171,1.7980642792732258,5.988635061827604,-12.005487965518478
-0.01,0.00057457358155704069,1.7873438132252077,6.078267291915566,-12.00564610113093
-0.01,0.00052460442493351927,1.7766214798436302,6.167363698332674,-12.005783620884204
-0.01,0.00054071091943146295,1.76590338665387,6.255924386840256,-12.005901301659886
-0.01,0.00052469134465758219,1.7462605095662371,6.3440663157034285,-12.006023405357766
-0.01,0.0005071213833167191,1.733849552624453,6.430874051263743,-12.005952466614048
-0.01,0.00047532536843488641,1.7268797140863028,6.5000667494508155,-12.00598028687706
-0.01,0.00047000351995620248,1.7164665767543221,6.586143247429614,-12.006155057520441
-0.01,0.00048776718951457608,1.710035294209504,6.637535569156347,-12.00620677590361
-0.01,0.00045299534168779539,1.7083374472605393,6.755990821110907,-12.006318505528753
