torque,kappa,beta,velocity,x,y
-0.004118762161524577,0.018041119152120678,0.018041119152120678,0.002059355156567889,2.9999988741661894,-12.000005159252776
7.98942965613439,7.9836705331080593e-09,7.9836705331080593e-09,0.005394428136608994,2.999534288382624,-12.000009601773007
7.97939255959296,0.018041111168452303,0.018041111168452303,0.010446585207379119,3.0581988295157077,-12.000036208137672
6.273729830682723,1.5967339357548594e-08,1.5967339357548594e-08,0.8632375804361742,3.2027880820732526,-12.000321978458231
5.069742368367828,0.018041101390117505,0.018041101390117505,1.4652668330547725,3.4717826756368604,-12.000873219175457
2.2861126198433,2.5707276372030799e-08,2.5707276372030799e-08,2.8574913618095406,3.804873923995159,-12.000431925247788
0.5169229253002303,0.018041071909762139,0.018041071909762139,3.7416218697630925,4.132199767686477,-11.999654890789461
-0.01,4.3702333518966922e-08,4.3702333518966922e-08,4.452573936026355,4.465908370090724,-11.99920789305774
-0.01,0.018041074413683984,0.018041074413683984,5.068605572093803,4.788965758726609,-11.998376719728034
-0.01,4.5916378187734001e-08,4.5916378187734001e-08,5.771867277693834,5.31635644801054,-11.9982305459599
-0.01,0.018041042287964916,0.018041042287964916,6.009711903404182,5.917212962208937,-11.994749809034888
-0.01,7.0592571834431659e-08,7.0592571834431659e-08,5.989383160142464,6.633954332329902,-11.991284455126687
-0.01,0.018041056065314282,0.018041056065314282,5.951803968363644,7.46337174463581,-11.987188940907492
-0.01,6.9953518573052442e-08,6.9953518573052442e-08,5.9033107742832,8.110885848337867,-11.977039762680645
-0.01,0.018040961235314554,0.018040961235314554,5.870367514446453,8.57895524625454,-11.969919883974972
-0.01,1.37791356510546e-07,1.37791356510546e-07,5.838531689041571,9.392610762937434,-11.948949391536647
-0.01,0.018040972490363301,0.018040972490363301,5.792012249728854,10.200196236935048,-11.925247505941337
-0.01,1.5434743671413474e-07,1.5434743671413474e-07,5.7456840543673655,10.830228819934375,-11.899963338346021
-0.01,0.018040800375067539,0.018040800375067539,5.734047838922326,11.626767847114582,-11.865396824725165
-0.01,3.2130902500243074e-07,3.2130902500243074e-07,5.670545166770088,12.247483484486995,-11.832118236012676
-0.01,0.018040739082477882,0.018040739082477882,5.6389118220993515,13.031748430969994,-11.78863818998882
-0.01,3.8287483674990909e-07,3.8287483674990909e-07,5.586994559224516,13.697912165878227,-11.744199514406167
-0.01,0.018040102246930513,0.018040102246930513,5.5226292911240185,14.029356983882218,-11.721918165197664
-0.01,9.8857562877965364e-07,9.8857562877965364e-07,5.52530952363906,14.414581206336097,-11.693965689233579
